ID_PLT;NAZWA;ID_KRAJ;MIASTO;KOD;ULICA;NR_LOK;NIP
47;KIOSK SZKOLNY HENRYK GWIZDAŁA;PL;KOTOMIERZ;86022;KOŚCIELNA 10;Brak;5541995988
48;SZWOCHA ALICJA  SKLEP SPOŻYWCZY;PL;PIASECZNO;83123;JELEŃ;Brak;5930004070
49;HANDEL HURTOWY I DETALICZNY KRYSTYNA PAUL GIEŁDA PAWILON 257;PL;Toruń;87100;KRASIŃSKIEGO 85/11;11;9561482768
50;"FIRMA USŁUGOWO- HANDLOWA ""AKAM"" ADAM WIŚNIEWSKI";PL;Grudziądz;86300;GROBLOWA 9;Brak;8760011002
51;SKLEP SPOŻYWCZO-PRZEMYSŁOWY ANDRZEJ OLSZEWSKI ZASKOCZ;PL;KSIĄŻKI;87222;ZASKOCZ;Brak;8781004183
52;P.P.H.U. WALICZEK 1990  SKLEP GRUBNO;PL;STOLNO;86212;STOLNO;Brak;8750008725
53;"***P.H.U. STACJA PALIW ""DUET"" M.ANACZKOWSKI , K.FILARSKI SPÓŁKA JAWNA";PL;IŁAWA;14200;LUBAWSKA 5;Brak;7440004589
54;EKO-MAS PRZETWÓRSTWO MIĘSNE WIESŁAW ROGOWSKI STARY FOLWARK;PL;Grudziądz;86300;MICKIEWICZA 49;Brak;8761669985
55;*****DOM POMOCY SPOŁECZNEJ NR 2;PL;GRUDZIĄDZ;86300;NADGÓRNA 30/32;32;8761747805
56;"FIRMA HANDLOWA ""PANDA LODOWA"" STEFAN SUMIŃSKI";PL;IŁAWA;14200;GRUDZIĄDZKA 39;Brak;8770000767
57;F.H.U. AMAR ANDRZEJ KWIECIEŃ;PL;NOWE MIASTO LUB.;13300;WYSPIŃSKIEGO 16;Brak;8771015914
58;"SKLEP SPOŻYWCZO-PRZEMYSLOWY ""IRENA"" IRENA KULA-KRAUSE";PL;ŁASIN;86320;NOWE MOSTY 13;Brak;8760012088
59;ŁUCZAK ANDRZEJ SKLEP SPOŻYWCZO-PRZEMYSLOWY;PL;Łysomice;87148;OSTASZEWO;Brak;9561183089
60;"FIRMA ""ROBER"" ROBERT WIDOMSKI";PL;Chełmża;87140;MICKIEWICZA 6/4;4;8791569142
61;EKO-MAS PRZETWÓRSTWO MIĘSNE WIESŁAW ROGOWSKI STARY FOLWARK;PL;Grudziądz;86300;WYBICKIEGO 44;Brak;8761669985
62;SKLEP KABANOSIK BARBARA BUDKA;PL;NOWE;86170;GDAŃSKA 23;Brak;5591433258
63;"SKLEPY ""IMPULS"" FIK SYLWIA";PL;CHEŁMNO;86200;DWORCOWA 15;Brak;8750001019
64;"P.H.U. ""DROZD"" JERZY DROZD DOST. PIŁSUDSKIEGO";PL;KWIDZYN;82500;KRAŃCOWA 13/7;7;5811335033
66;PHU GROSZEK DANUTA RYDELLEK SKLEP SPOŻYWCZO PRZEMYSŁOWY;PL;GRUDZIĄDZ;86300;ŁYSKOWSKIEGO 7;Brak;8761361052
67;"HENRYK SZUMIŃSKI SKLEP SPOŻYWCZO-ROLNY ""ASIA""";PL;ŚWIECIE;86101;TUCHOLSKA 7;Brak;5590010165
68;"GMINNA SPÓŁDZIELNIA  ""SAMOPOMOC CHŁOPSKA""";PL;SKÓRCZ;83220;SOBIESKIEGO 12;Brak;5920201952
69;ZESPÓŁ SZKÓŁ W KOTOMIERZU;PL;DOBRCZ;86022;KORONOWSKA 2;Brak;5542856042
26;"GMINNA SPÓŁDZIELNIA  ""SAMOPOMOC CHŁOPSKA"" W GARDEI - SKLEP WANDOWO";PL;GARDEJA;82520;WANDOWO;Brak;5810004883
476;GS SCH HURTOWNIA SPOŻYWCZA;PL;NOWE;86170;DWORCOWA 2;Brak;5590003768
72;"MARWALDIK  WALDEMAR SZYMCZAK MINI DELIKATESY ""MARWALDIK"" UL. KOŚCIUSZKI 9";PL;ŚWIECIE;86100;KOŚCIUSZKI 9;Brak;5591045421
73;"SKLEP SPOŻYWCZY ""KEWUŚ""";PL;Grudziądz;86300;TORUŃSKA 21;Brak;8761987923
74;ZAGÓRSKA MIROSŁAWA SKLEP SPOŻYWCZO-PRZEMYSŁOWY;PL;ŁASIN;86320;ODRODZENIA POLSKI 8A;Brak;8760011545
75;SKLEP SPOŻYWCZO PRZEMYSŁOWY WANDA KOPCZYŃSKA;PL;STOLNO;86212;RYBIENIEC;Brak;8751346134
76;HANDEL  ARTYKUŁAMI ROLNO-SPOŻYWCZO-PRZEMYSŁOWYMI ADAM STRUMIK;PL;PRABUTY;82550;WOJ.POLSKIEGO 4A;Brak;5810008898
77;"SPÓŁDZIELNIA ""POKÓJ""";PL;BIELSKO BIAŁA;43302;LEGIONÓW 52;Brak;5470048343
26;"GMINNA SPÓŁDZIELNIA  ""SAMOPOMOC CHŁOPSKA"" W GARDEI - SKLEP SPOŻYWCZO-PRZEMYSŁOWY W OTŁOWCU";PL;GARDEJA;82520;OTŁOWIEC;Brak;5810004883
79;***SKLEP OGÓLNO-SPOŻYWCZY RAFAŁ ROGOWSKI;PL;Grudziądz;86300;MŁYŃSKA 10/6;6;8762206402
86;PARTNERSKA STACJA PALIW BP;PL;Kwidzyn;82500;MOSTOWA 1A;Brak;8791159421
1209;"GMINNA SPÓLDZIELNIA ""SCH""  JEŻEWO SKLEP NR 17";PL;JEŻEWO;86131;PIĘĆMORGI;Brak;5590004443
